Cites;Authors;Title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
152;M Hartlapp, J Metz, C Rauh;Linking Agenda Setting to Coordination Structures: Bureaucratic Politics inside the European Commission;2012;Journal of European Integration;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10089398597195275554;3;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:Tyk-4Ss8FVUC;;;;;152;Nov 69;51;3;13;;;
41;C Rauh;One agenda-setter or many? The varying success of policy initiatives by individual Directorates-General of the European Commission 1994–2016;2021;European Union Politics;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8083472527291672607;14;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:NaGl4SEjCO4C;22;1;3;24;41;Okt 25;41;1;4;;;
10;C Rauh, M Parizek;Converging on Europe? The European Union in mediatised debates during the COVID-19 and Ukraine shocks;2024;Journal of European Public Policy;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9902839489866126583;28;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:a0OBvERweLwC;31;10;3036;3065;10;10.00;5;2;1;;;
8;M Sebők, SO Proksch, C Rauh, P Visnovitz, G Balázs, J Schwalbach;Comparative European legislative research in the age of large-scale computational text analysis: A review article;2025;International Political Science Review;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10607266148025029085;32;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:yD5IFk8b50cC;46;1;18;39;8;8.00;1;6;1;;;
19;S Özdemir, C Rauh;A Bird’s Eye View: Supranational EU Actors on Twitter;2022;Politics and Governance;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1594665353471545449;23;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:g5m5HwL7SMYC;10;1;133;145;19;Jun 33;10;2;3;;;
28;P de Wilde, C Rauh;Going full circle: the need for procedural perspectives on EU responsiveness;2019;Journal of European Public Policy;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1530287879141541387;19;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:NMxIlDl6LWMC;26;11;1737;1748;28;Apr 67;14;2;6;;;
41;M Meijers, C Rauh;Has Eurosceptic mobilization become more contagious? Comparing the 2009 and 2014 EP Election campaigns in The Netherlands and France;2016;Politics and Governance;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18423932073721885538;15;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:mVmsd5A6BfQC;4;1;83;103;41;Apr 56;21;2;9;;;
36;C Rauh, J Schwalbach, P de Wilde;The ParlSpeech data set: Annotated full-text vectors of 3.9 million plenary speeches in the key legislative chambers of seven European states;2017;http://dx.doi.org/10.7910/DVN/E4RSP;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10791100333195957386,8506945568053411259;18;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:HDshCWvjkbEC;9;;;;36;Apr 50;12;3;8;;;
18;C Rauh;Between neo-functionalist optimism and post-functionalist pessimism: Integrating politicisation into integration theory;2021;Theorising the crises of the European Union;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16349555738992941601;25;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:70eg2SAEIzsC;;;119;137;18;Apr 50;18;1;4;;;
51;C Rauh, A Kirchner, R Kappe;Political Parties and Higher Education Spending: Who Favours Redistribution?;2011;West European Politics;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6855765000435763261;13;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:qjMakFHDy7sC;34;6;1185;1206;51;Mrz 64;17;3;14;;;
38;M Hartlapp, J Metz, C Rauh;The agenda set by the EU Commission: the result of balanced or biased aggregation of positions?;2010;LEQS paper;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17289527818019998673;17;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:_kc_bZDykSQC;;;;;38;Feb 53;13;3;15;;;
9;J Schwalbach, C Rauh;Collecting large-scale comparative text data on legislative debates;2021;The Politics of Legislative Debates, Oxford University Press, Oxford;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7855855021042209440;29;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:ldfaerwXgEUC;;;91;109;9;Feb 25;5;2;4;;;
17;L Hooghe, C Rauh;The Commission’s services: A powerful permanent bureaucracy;2017;The Institutions of the European Union;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13430492132068291004,1518015076234160251;26;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:IWHjjKOFINEC;4;;187;212;17;Feb 13;9;2;8;;;
19;C Rauh, M Zürn;Die Politisierung der Europäischen Union als Chance nutzen;2016;integration;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9019455834857452337;24;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:dhFuZR0502QC;;;3;14;19;02. Nov;10;2;9;;;
26;C Rauh;Politicisation, Issue Salience, and Consumer Policies of the European Commission: Does Public Awareness and Contestation of Supranational Matters Increase the Responsiveness of …;2012;Freie Universität Berlin;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7482331487522419509,8535766147441837654;20;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:zYLM7Y9cAGgC;;;;;26;2.00;26;1;13;;;
22;M Hartlapp, J Metz, C Rauh;The agenda setting by the European Commission: the result of balanced or biased aggregation of positions;2010;LSE;LEQOS Paper;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13585468705725122367;21;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:pyW8ca7W8N0C;;;;;22;Jan 47;7;3;15;;;
12;C Rauh, S Bödeker;Internationale Organisationen in der deutschen Öffentlichkeit: Ein Text Mining-Ansatz;2015;Text Mining in den Sozialwissenschaften: Grundlagen und Anwendungen zwischen …;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15267589736762056983;27;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:4TOpqqG69KYC;;;;;12;Jan 20;6;2;10;;;
20;M Hartlapp, J Metz, C Rauh;Internal Dynamics Position formation in the EU Commission;2008;4th Pan European ECPR Conference on EU Politics;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3544065280787145416;22;21.08.2025 14:16;Conference paper;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:u5HHmVD_uO8C;;;25;27;20;Jan 18;7;3;17;;;
8;C Rauh;An Agenda-Setter in Decline? Legislative Activity of the European Commission 1985–2016;2018;Annual Conference of the European Political Science Association;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10386225678791255442;33;21.08.2025 14:16;Conference paper;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:e5wmG9Sq2KIC;;;;;8;Jan 14;8;1;7;;;
1;C Rauh, R van der Veer;Responsiveness;2024;Handbook on European Union Public Administration;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4920017762646924180;44;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:D03iK_w7-QYC;;;362;376;1;1.00;1;2;1;;;
9;C Rauh, G Schneider;There is No such Thing as a Free Open Sky: Financial Markets and the Struggle over European Competences in International Air Transport;2013;JCMS: Journal of Common Market Studies;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15093785700351385676;30;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:3fE2CSJIrl8C;51;6;1124;1140;9;0.75;5;2;12;;;
9;C Rauh;A Widening Audience, Ever More Interested and Active? The Public Politicization of European Integration in the EU6, 1990–2011;2013;Unpublished manuscript;Berlin: WZB–Social Science Research Center Berlin;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14858352368399258637,3153557409400827004;31;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:j3f4tGmQtD8C;;;;;9;0.75;9;1;12;;;
7;A Tokhi, C Rauh;Die schiere Menge sagt noch nichts Big Data in den Sozialwissenschaften;2015;WZB-Mitteilungen (150 der Gesamtfolge);;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7055846166093008778;34;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:M3ejUd6NZC8C;;;6;9;7;0.70;4;2;10;;;
6;M Hartlapp, J Metz, C Rauh;Wer mäßigt den Agenda-Setter im EU-System und wie? Drei Modi der Positionsbildung in der EU-Kommission;2016;Zeitschrift für Politikwissenschaft;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12805160484194484934;35;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:9ZlFYXVOiuMC;26;1;85;98;6;0.67;2;3;9;;;
2;A Anegundi, K Schulz, C Rauh, G Rehm;Modelling Cultural and Socio-Economic Dimensions of Political Bias in German Tweets;2022;Proceedings of the 18th Conference on Natural Language Processing (KONVENS …;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5453689588629707874;40;21.08.2025 14:16;Conference paper;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:pqnbT2bcN3wC;;;;;2;0.67;1;4;3;;;
6;M Hartlapp, C Rauh;The Commission’s internal conditions for social re-regulation: Market efficiency and wider social goals in setting the rules for financial services in Europe;2013;European Journal of Government and Economics;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2066875995520439135;36;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:MXK_kJrjxJIC;2;1;25;40;6;0.50;3;2;12;;;
4;M Zürn, C Rauh;» Legitimationsprobleme im Früheuropäismus «;2014;Frankfurter Allgemeine Zeitung;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3036183712557778197;37;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:4JMBOYKVnBMC;19;2014;6;6;4;0.36;2;2;11;;;
4;C Rauh;Winning Back the Hearts of European Citizens? Public Politicization of European Integration and the Commission's Responsiveness to diffuse societal interests in consumer policy;2013;7th ECPR General Conference, Sciences Po, Bordeaux;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5605462089000656797;38;21.08.2025 14:16;Conference paper;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:ZeXyd9-uunAC;;;;;4;0.33;4;1;12;;;
4;M Hartlapp, J Metz, C Rauh;How external interests enter the European Commission: Mechanisms at play in legislative position formation;2010;WZB Discussion Paper;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8869936927087060612;39;21.08.2025 14:16;Working paper;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:ufrVoPGSRksC;;;;;4;0.27;1;3;15;;;
2;C Rauh, M Zürn;Die Politisierung der Europäischen Union als Chance nutzen;2015;Modelle des Parlamentarismus im 21. Jahrhundert;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17246961692747787328;41;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:dfsIfKJdRG4C;;;469;486;2;0.20;1;2;10;;;
2;C Rauh, S Bödeker;The international trade regime in the public sphere, 1986–2012: Evaluating the social legitimacy of global governance with semi-automated text mining approaches. Konferenzpapier;2013;European Workshop on International Studies (EWIS), Tartu, Estonia;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12002682579394207016;42;21.08.2025 14:16;Conference paper;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:bEWYMUwI8FkC;;;5;8;2;0.17;1;2;12;;;
2;M Hartlapp, J Metz, C Rauh;Made in Brussels Wie externe Interessen ihren Weg in die Politikformulierung der EUKommission finden;2010;Journal WZB-Mitteilungen;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16993325084115733420;43;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:8k81kl-MbHgC;130;;;;2;0.13;1;3;15;;;
1;C Rauh;No longer an ivory tower: how public debates influence European Commission policies;2016;LSE European Politics and Policy (EUROPP) Blog;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8542362295966953333;45;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:qUcmZB5y_30C;;;;;1;0.11;1;1;9;;;
1;C Rauh;From Chicago to Brussels: EU regulation of international air transport and the stock market performance of internationally operating airlines;2008;;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9144038585617643819;46;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:5nxA0vEk-isC;;;;;1;0.06;1;1;17;;;
1;C Rauh;Mikropolitik–Verstehen oder Erklären? Der Erkenntnisgewinn der Strategischen Organisationsanalyse nach Crozier und Friedberg;2005;GRIN Verlag;;;https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8175218660798453520;47;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:Y0pCki6q_DkC;;;;;1;0.05;1;1;20;;;
0;C Rauh;International recognition of European Union “actorness”: Language-based evidence from United Nations general debate speeches 1970–2020;2025;International Interactions;;;https://scholar.google.com;48;21.08.2025 14:16;Book chapter;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:_xSYboBqXhAC;;;1;30;0;0.00;0;1;1;;;
0;J Schwalbach, L Hetzer, SO Proksch, C Rauh, M Sebők;ParlLawSpeech;2025;https://doi.org/10.7802/;;;https://scholar.google.com;49;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:f2IySw72cVMC;2824;;;;0;0.00;0;5;1;;;
0;C Rauh, J Scherzinger;Widersprüchliche Signale. Wie EU-Staaten vor dem Ukrainekrieg über Russland sprachen.;2022;WZB Mitteilungen;;;https://scholar.google.com;50;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:u_35RYKgDlwC;176;2;45;8;0;0.00;0;2;3;;;
0;C Rauh;Christina J. Schneider. 2018. The Responsive Union: National Elections and European Governance.(Cambridge: Cambridge University Press);2020;The Review of International Organizations;;;https://scholar.google.com;51;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:BqipwSGYUEgC;15;1;307;310;0;0.00;0;1;5;;;
0;M Hartlapp, J Metz, C Rauh;Who controls the agenda setter in the EU system? Three modes of position formation in the European Commission;2016;Zeitschrift für Politikwissenschaft;;;https://scholar.google.com;52;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:cFHS6HbyZ2cC;26;;85;98;0;0.00;0;3;9;;;
0;M Hartlapp, J Metz, C Rauh;Conflict inside the European Commission is a key factor in shaping EU legislation;2015;LSE European Politics and Policy (EUROPP) Blog;;;https://scholar.google.com;53;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:hC7cP41nSMkC;;;;;0;0.00;0;3;10;;;
0;C Rauh;The EU’s attempts to manage air transport regulation illustrate the extent to which supranational actors can send credible signals to financial markets;2014;LSE European Politics and Policy (EUROPP) Blog;;;https://scholar.google.com;54;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:-f6ydRqryjwC;;;;;0;0.00;0;1;11;;;
0;C Rauh;Winning back the heart of Europeans? Asserting consumer policies within the European Commission;2009;;;;https://scholar.google.com;55;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:9yKSN-GCB0IC;;;;;0;0.00;0;1;16;;;
0;C Rauh;The Repeatedly Low Turnout in EP Elections: Political Elites Fail in Politicising Citizens.;2009;A Different View - IAPSS Monthly News Magazine;;;https://scholar.google.com;56;21.08.2025 14:16;Journal article;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:IjCSPb-OGe4C;31;;3;5;0;0.00;0;1;16;;;
0;C Rauh;Heilmittel oder Freifahrtschein? Zur Anwendbarkeit der Offenen Methode der Koordinierung auf die europäische Strukturpolitik;2007;GRIN Verlag;;;https://scholar.google.com;57;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:YsMSGLbcyi4C;;;;;0;0.00;0;1;18;;;
0;C Rauh;Legal Harmonization. A case study on modelling the legislative processes of the European Union.;2006;GRIN Verlag;;;https://scholar.google.com;58;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:WF5omc3nYNoC;;;;;0;0.00;0;1;19;;;
0;C Rauh;Entscheidungsverfahren und das Demokratiedefizit. Zum Einfluss des Europäischen Parlaments auf die Gesetzgebung der Europäischen Union;2006;GRIN Verlag;;;https://scholar.google.com;59;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:LkGwnXOMwfcC;;;;;0;0.00;0;1;19;;;
0;C Rauh, R Kappe, A Kirchner;Bowlen am Wahltag-Sozialkapital und Wahlbeteiligung in 94 europäischen Regionen;2006;GRIN Verlag;;;https://scholar.google.com;60;21.08.2025 14:16;;;;https://scholar.google.com/citations?view_op=view_citation&hl=en&user=kIwmmTAAAAAJ&pagesize=100&citation_for_view=kIwmmTAAAAAJ:UeHWp8X0CEIC;;;;;0;0.00;0;3;19;;;
